CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL3219636	1726028	CHEMBL3219636	1726028		10b	391.34	5.47	64.63	1	CCOC(=O)C1=CNc2cc(Cc3ccc(OC(F)(F)F)cc3)ccc2C1=O	14545600	IC50	=	.46	nM	9.34			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1330156	CHEMBL3223784	F	Antimalarial activity against wild type Plasmodium falciparum 3D7 assessed as growth inhibition	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81832	CHEMBL3217655		MedChemComm	2012	3	1	39			
CHEMBL3218235	1724613	CHEMBL3218235	1724613		11	379.49	1.81	58.18	0	C1CC(CCO1)NC2CCC3(CC2)OOC4(OO3)C5CC6CC(CC4C6)C5	14530893	IC50	=	.7	nM	9.15			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1327298	CHEMBL3225043	F	Antiplasmodial activity against Plasmodium falciparum 3D7 infected in human erythrocytes assessed as [3H]hypoxanthine incorporation after 48 hrs by betaplate liquid scintillation counting analysis	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81804	CHEMBL3217563		MedChemComm	2011	2	7	661			
CHEMBL3218246	1724624	CHEMBL3218246	1724624		22	478.62	3.25	78.49	0	CC(C)(C)OC(=O)NC1CCN(CC1)C2CCC3(CC2)OOC4(OO3)C5CC6CC(CC4C6)C5	14530904	IC50	=	1	nM	9			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1327298	CHEMBL3225043	F	Antiplasmodial activity against Plasmodium falciparum 3D7 infected in human erythrocytes assessed as [3H]hypoxanthine incorporation after 48 hrs by betaplate liquid scintillation counting analysis	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81804	CHEMBL3217563		MedChemComm	2011	2	7	661			
CHEMBL3218242	1724620	CHEMBL3218242	1724620		18	378.51	1.65	66.18	0	NC1CCN(CC1)C2CCC3(CC2)OOC4(OO3)C5CC6CC(CC4C6)C5	14530900	IC50	=	1.2	nM	8.92			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1327298	CHEMBL3225043	F	Antiplasmodial activity against Plasmodium falciparum 3D7 infected in human erythrocytes assessed as [3H]hypoxanthine incorporation after 48 hrs by betaplate liquid scintillation counting analysis	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81804	CHEMBL3217563		MedChemComm	2011	2	7	661			
CHEMBL2263540	1481391	CHEMBL2263540	1481391		4	303.35	4.56	31.23	0	COc1ccc(\C=C\C(=O)c2ccc(cc2)n3cccc3)cc1	12460158	IC50	=	1.61	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	909864	CHEMBL3055177	F	Antimalarial activity against blood-stage Plasmodium falciparum 3D7 after 48 hr by Giemsa staining method	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			69902	CHEMBL3046891		Med Chem Res	2009	18	6	407			
CHEMBL3397103	1828820	CHEMBL3397103	1828820		7	522.59	5.08	93.43	2	C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)c3ccc(\C=C\C(=O)c4oc(C)cc4)cc3)O[C@@H]5O[C@]6(C)CC[C@@H]1[C@@]25OO6	15155311	IC50	=	1.98	nM	8.7			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1462646	CHEMBL3399333	F	Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 assessed as inhibition of parasite proliferation after 96 hrs by SYBR Green I-based fluorescence method	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			90962	CHEMBL3396954	25461309	Eur. J. Med. Chem.	2015	90		33			
CHEMBL3397107	1828824	CHEMBL3397107	1828824		11	578.65	5.5	98.75	2	COc1ccc(C(=O)\C=C\c2ccc(cc2)C(=O)OC3O[C@@H]4O[C@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5)c(OC)c1	15155307	IC50	=	3.02	nM	8.52			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1462646	CHEMBL3399333	F	Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 assessed as inhibition of parasite proliferation after 96 hrs by SYBR Green I-based fluorescence method	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			90962	CHEMBL3396954	25461309	Eur. J. Med. Chem.	2015	90		33			
CHEMBL1738786	1117833	CHEMBL1738786	1117833		5, DSM267	357.28	4.04	55.11	0	Cc1cc(Nc2ccc(cc2)C(F)(F)F)n3nc(nc3n1)C(C)(F)F	14734083	IC50	=	3.6	nM	8.44			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1366445	CHEMBL3296345	F	Antimalarial activity against Plasmodium falciparum 3D7 infected in RBC after 72 hrs by SYBR green dye based flow cytometry	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			83791	CHEMBL3286300	24801997	J. Med. Chem.	2014	57	12	5381			
CHEMBL2387268	1564043	CHEMBL2387268	1564043		82, RKA 182	503.67	2.35	63.71	1	CN1CCN(CC1)C2CCN(CC2)C(=O)CC3CCC4(CC3)OOC5(OO4)C6CC7CC(CC5C7)C6	14536107	IC50	=	4.9	nM	8.31			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1327901	CHEMBL3224707	F	Antimalarial activity against Plasmodium falciparum 3D7	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81869	CHEMBL3217710		MedChemComm	2012	3	3	281			
CHEMBL2237988	1473523	CHEMBL2237988	1473523		4	326.73	3.85	63.6	0	OC1=C(C(=O)\C=C\c2ccc(Cl)cc2)C(=O)Oc3ccccc13	12393231	IC50	=	5.1	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	900243	CHEMBL3051455	F	Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 by in vitro cell culture method	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			69063	CHEMBL3044612		Med Chem Res	2012	21	8	1780			
CHEMBL3400178	1833200	CHEMBL3400178	1833200		14	452.54	4.83	57.69	0	O=C([C@H](Cc1ccccc1)N2C(=O)c3ccccc3C2=O)N4CCC(Cc5ccccc5)CC4	15183769	IC50	=	5.5	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	1465107	CHEMBL3405439	F	Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 infected in human erythrocyte assessed as parasite viability after 48 hrs by [3H]hypoxanthine incorporation based liquid scintillation counting analysis	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			91160	CHEMBL3400128	25766631	Bioorg. Med. Chem.	2015	23	8	1817			
CHEMBL3397105	1828822	CHEMBL3397105	1828822		9	593.62	5.41	135.33	2	COc1ccc(cc1[N+](=O)[O-])C(=O)\C=C\c2ccc(cc2)C(=O)OC3O[C@@H]4O[C@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@@]46OO5	15155309	IC50	=	5.87	nM	8.23			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1462646	CHEMBL3399333	F	Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 assessed as inhibition of parasite proliferation after 96 hrs by SYBR Green I-based fluorescence method	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			90962	CHEMBL3396954	25461309	Eur. J. Med. Chem.	2015	90		33			
CHEMBL3264799	1749791	CHEMBL3264799	1749791		3	642.87	6.45	94.14	2	CCCN(CCC)C(=O)c1cc(cc(c1)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c3cccc(OC)c3)N4CCCCC4	14656158	IC50	=	6	nM	8.22			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1353682	CHEMBL3271814	F	Antimalarial activity against blood-stage Plasmodium falciparum 3D7 assessed as inhibition of parasite growth after 96 hrs by SYBR Green I assay	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			83020	CHEMBL3259525		ACS Med. Chem. Lett.	2014	5	4	373			
CHEMBL76	6579	CHEMBL76	6579	CHLOROQUINE	CQ	319.87	4.35	28.16	0	CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12	15128138	IC50	=	6.8	nM	8.17			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1432089	CHEMBL3389348	F	Antiplasmodial activity against Plasmodium falciparum 3D7 asexual blood stages after 3 days by HRP2 detection based ELISA method	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			89298	CHEMBL3351566	25195945	J. Med. Chem.	2014	57	19	7971			
CHEMBL3222265	1728683	CHEMBL3222265	1728683		10	418.76	5.45	36.95	1	CC(C)(C)NCc1cc(Br)cc(Nc2ccnc3cc(Cl)ccc23)c1	14536778	IC50	=	7	nM	8.15			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1328983	CHEMBL3223114	F	Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 infected in human erythrocytes after 96 hrs by SYBR Green I staining	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			81968	CHEMBL3217651		MedChemComm	2012	3	12	1505			
CHEMBL3335118	1791249	CHEMBL3335118	1791249		29	385.43	4.28	70.97	0	N\C(=N/N=C/c1ccc(F)cc1)\CC(O)c2cc3ccccc3c4ccccc24	15128108	IC50	=	8.3	nM	8.08			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1432089	CHEMBL3389348	F	Antiplasmodial activity against Plasmodium falciparum 3D7 asexual blood stages after 3 days by HRP2 detection based ELISA method	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			89298	CHEMBL3351566	25195945	J. Med. Chem.	2014	57	19	7971			
CHEMBL2237984	1473519	CHEMBL2237984	1473519		13	382.36	3.14	91.29	0	COc1ccc(\C=C\C(=O)C2=C(O)c3ccccc3OC2=O)c(OC)c1OC	12393168	IC50	=	8.5	ug.mL-1				0	BAO_0000190	UO_0000274	http://www.openphacts.org/units/MicrogramPerMilliliter	900243	CHEMBL3051455	F	Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 by in vitro cell culture method	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			69063	CHEMBL3044612		Med Chem Res	2012	21	8	1780			
CHEMBL567597	575613	CHEMBL567597	575613	ARTEMISININ	ART	282.33	2	53.99	0	C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4	15011103	IC50	=	9	nM	8.05			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1456431	CHEMBL3368880	F	Antiplasmodial activity against Plasmodium falciparum 3D7 infected in erythrocytes assessed as [3H]hypoxanthine incorporation after 24 hrs by microbeta scintillation counting analysis	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			90381	CHEMBL3352080	24974345	Bioorg. Med. Chem. Lett.	2014	24	15	3263			
CHEMBL3358143	1822298	CHEMBL3558756	1940602		22	692.89	4.65	152.93	1	COC1=CC(=O)N([C@H]1Cc2c[nH]c3ccccc23)C(=O)\C=C\[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)[NH+](C)C.[O-]C(=O)C(F)(F)F	15121664	IC50	=	9.7	nM	8.01			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1435074	CHEMBL3388291	F	Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 infected in human erythrocytes by [3H]-hypoxanthine incorporation assay	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			89734	CHEMBL3351948	25412465	J. Med. Chem.	2014	57	24	10557			
CHEMBL3397104	1828821	CHEMBL3397104	1828821		8	518.6	5.54	80.29	2	C[C@@H]1CC[C@H]2[C@@H](C)C(OC(=O)c3ccc(\C=C\C(=O)c4ccccc4)cc3)O[C@@H]5O[C@]6(C)CC[C@@H]1[C@@]25OO6	15155310	IC50	=	9.73	nM	8.01			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1462646	CHEMBL3399333	F	Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 assessed as inhibition of parasite proliferation after 96 hrs by SYBR Green I-based fluorescence method	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			90962	CHEMBL3396954	25461309	Eur. J. Med. Chem.	2015	90		33			
CHEMBL3397108	1828825	CHEMBL3397108	1828825		12	621.93	7.53	80.29	2	C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OC(=O)c3ccc(\C=C\C(=O)c4ccc(Cl)c(Cl)c4Cl)cc3)O[C@@H]5O[C@]6(C)CC[C@@H]1[C@@]25OO6	15155306	IC50	=	10.67	nM	7.97			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1462646	CHEMBL3399333	F	Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 assessed as inhibition of parasite proliferation after 96 hrs by SYBR Green I-based fluorescence method	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			90962	CHEMBL3396954	25461309	Eur. J. Med. Chem.	2015	90		33			
CHEMBL422330	252768	CHEMBL422330	252768	LUMEFANTRINE	Lumefantrine	528.94	9.2	23.47	2	CCCCN(CCCC)CC(O)c1cc(Cl)cc2\C(=C\c3ccc(Cl)cc3)\c4cc(Cl)ccc4c12	15087877	IC50	=	12	nM	7.92			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1437053	CHEMBL3390205	F	Antimalarial activity against chloroquine-sensitive Plasmodium falciparum 3D7 infected in human type A-positive red blood cells assessed as growth inhibition after 72 hrs by spectrophotometrically	1	Scientific Literature	Plasmodium falciparum 3D7		36329	Autocuration	BAO_0000218	107053	CHEMBL2366922	ORGANISM		Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	1	Non-molecular			89596	CHEMBL3351756	25311562	Bioorg. Med. Chem.	2014	22	21	5757			
